last_name, first_name,player_id,team_id,team,position,age,competitive_runs,hp_to_1b,sprint_speed
Ibáñez, Andy,628451,140,TEX,3B,28,18,4.33,27.7
Jansen, Danny,643376,141,TOR,C,26,36,4.47,27.7
Herrera, Odúbel,546318,143,PHI,CF,30,88,4.26,27.7
Lewis, Kyle,641786,136,SEA,CF,26,31,4.46,27.7
Iglesias, José,578428,108,LAA,SS,31,95,4.21,27.7
Espinal, Santiago,669289,141,TOR,3B,27,49,4.28,27.7
Gutierrez, Kelvin,642721,118,KC,3B,27,62,4.41,27.7
McKinney, Billy,641856,121,NYM,LF,27,53,4.35,27.7
Smith, Will,669257,119,LAD,C,26,69,4.52,27.7
Grossman, Robbie,543257,116,DET,LF,32,81,4.35,27.7
Ortega, Rafael,542364,112,CHC,RF,30,11,,27.7
Gamel, Ben,592325,134,PIT,LF,29,34,4.35,27.6
Rojas, Josh,668942,109,ARI,2B,27,92,4.32,27.6
Lowe, Brandon,664040,139,TB,2B,27,75,4.35,27.6
Carlson, Dylan,666185,138,STL,CF,23,94,4.39,27.6
Heredia, Guillermo,628338,144,ATL,CF,30,57,4.37,27.6
Benintendi, Andrew,643217,118,KC,LF,27,74,4.37,27.6
Dean, Austin,621573,138,STL,LF,28,15,,27.6
Moncada, Yoán,660162,145,CWS,3B,26,78,4.26,27.6
Pollock, AJ,572041,119,LAD,LF,34,51,4.40,27.6
Bryant, Kris,592178,112,CHC,3B,29,88,4.42,27.6
Dickerson, Corey,572816,146,MIA,LF,32,96,4.29,27.6
Kirilloff, Alex,666135,142,MIN,1B,24,69,4.32,27.6
Walker, Christian,572233,109,ARI,1B,30,56,4.53,27.6
Bogaerts, Xander,593428,111,BOS,SS,29,104,4.25,27.6
Castellanos, Nick,592206,113,CIN,RF,29,110,4.37,27.6
Devers, Rafael,646240,111,BOS,3B,25,102,4.33,27.5
Polanco, Jorge,593871,142,MIN,2B,28,92,4.21,27.5
Hayes, Ke'Bryan,663647,134,PIT,3B,24,40,4.46,27.5
Escobar, Eduardo,500871,109,ARI,3B,32,77,4.31,27.5
Rondón, José,602922,138,STL,RF,27,11,,27.5
Upton, Justin,457708,108,LAA,LF,34,62,4.57,27.5
Gordon, Nick,624503,142,MIN,2B,26,17,,27.5
Tucker, Kyle,663656,117,HOU,RF,24,73,4.43,27.5
Andújar, Miguel,609280,147,NYY,LF,26,54,4.45,27.5
Gregorius, Didi,544369,143,PHI,SS,31,35,4.41,27.5
Evans, Phillip,595943,134,PIT,3B,29,61,4.47,27.5
DeJong, Paul,657557,138,STL,SS,28,50,4.50,27.5
Villar, Jonathan,542340,121,NYM,3B,30,69,4.38,27.5
Luplow, Jordan,656669,114,CLE,CF,28,27,4.47,27.5
Contreras, Willson,575929,112,CHC,C,29,79,4.41,27.5
Riley, Austin,663586,144,ATL,3B,24,86,4.52,27.5
Fletcher, David,664058,108,LAA,2B,27,141,4.35,27.5
Fuentes, Joshua,658069,115,COL,3B,28,65,4.43,27.5
Alcántara, Sergio,642727,112,CHC,2B,25,22,,27.5
Peraza, José,606299,121,NYM,2B,27,38,4.43,27.5
Meadows, Austin,640457,139,TB,DH,26,82,4.40,27.5
Peralta, David,444482,109,ARI,LF,34,123,4.39,27.5
Bradley, Bobby,656252,114,CLE,1B,25,26,4.46,27.5
Judge, Aaron,592450,147,NYY,RF,29,76,4.67,27.5
Naquin, Tyler,571980,113,CIN,CF,30,64,4.40,27.4
Toro, Abraham,647351,117,HOU,3B,25,15,,27.4
Bauers, Jake,641343,136,SEA,1B,26,51,4.42,27.4
Peterson, Jace,607054,158,MIL,2B,31,24,,27.4
Jones, JaCoby,592444,116,DET,CF,29,30,4.54,27.4
González, Erik,570481,134,PIT,3B,30,111,4.44,27.4
Wisdom, Patrick,621550,112,CHC,3B,30,12,,27.3
Kepler, Max,596146,142,MIN,RF,28,51,4.36,27.3
Beaty, Matt,607461,119,LAD,LF,28,48,4.45,27.3
Hernández, Enrique,571771,111,BOS,CF,30,80,4.42,27.3
Fraley, Jake,641584,136,SEA,LF,26,23,4.34,27.3
Bote, David,623520,112,CHC,3B,28,56,4.45,27.3
Lowe, Nate,663993,140,TEX,1B,26,92,4.36,27.3
Crawford, J.P.,641487,136,SEA,SS,26,107,4.44,27.3
Yastrzemski, Mike,573262,137,SF,RF,31,71,4.40,27.3
Reyes, Pablo,622569,158,MIL,3B,28,18,,27.3
Tauchman, Mike,643565,137,SF,LF,31,58,4.34,27.3
Betts, Mookie,605141,119,LAD,RF,29,91,4.44,27.3
Hays, Austin,669720,110,BAL,LF,26,78,4.45,27.3
Almonte, Abraham,501659,144,ATL,LF,32,25,,27.3
Wong, Kolten,543939,158,MIL,2B,31,79,4.34,27.3
Polanco, Gregory,570256,134,PIT,RF,30,62,4.37,27.3
McNeil, Jeff,643446,121,NYM,2B,29,44,4.18,27.2
Blackmon, Charlie,453568,115,COL,RF,35,99,4.35,27.2
Bradley Jr., Jackie,598265,158,MIL,CF,31,69,4.42,27.2
Springer, George,543807,141,TOR,DH,32,11,,27.2
Pillar, Kevin,607680,121,NYM,CF,32,38,4.45,27.2
Walsh, Jared,665120,108,LAA,1B,28,90,4.41,27.2
Hiura, Keston,669374,158,MIL,1B,25,27,4.59,27.2
Correa, Carlos,621043,117,HOU,SS,27,107,4.54,27.2
Happ, Ian,664023,112,CHC,CF,27,64,4.40,27.1
Frazier, Clint,640449,147,NYY,LF,27,58,4.62,27.1
Rojas, Jose,670351,108,LAA,3B,28,38,4.33,27.1
Maton, Nick,665155,143,PHI,SS,24,33,4.42,27.1
Soto, Juan,665742,120,WSH,RF,23,97,4.30,27.1
Renfroe, Hunter,592669,111,BOS,RF,29,91,4.54,27.1
Muncy, Max,571970,119,LAD,1B,31,59,4.41,27.1
Gallo, Joey,608336,140,TEX,RF,28,60,4.51,27.1
Trejo, Alan,676701,115,COL,2B,25,13,,27.1
Frazier, Adam,624428,134,PIT,2B,30,109,4.41,27.1
Adrianza, Ehire,501303,144,ATL,RF,32,42,4.48,27.0
Wilkerson, Stevie,592859,110,BAL,2B,29,27,,27.0
Davis, J.D.,605204,121,NYM,3B,28,11,,27.0
Barnes, Austin,605131,119,LAD,C,32,34,4.60,27.0
Segura, Jean,516416,143,PHI,2B,31,96,4.35,27.0
Wong, Kean,642221,108,LAA,2B,26,11,,27.0
Bellinger, Cody,641355,119,LAD,CF,26,22,,27.0
Torres, Gleyber,650402,147,NYY,SS,25,90,4.49,27.0
Pederson, Joc,592626,112,CHC,LF,29,52,4.35,27.0
Refsnyder, Rob,608701,142,MIN,CF,30,16,4.50,27.0
Urías, Ramón,602104,110,BAL,2B,27,21,4.53,27.0
Williams, Justin,642211,138,STL,RF,26,28,4.69,27.0
Candelario, Jeimer,600869,116,DET,3B,28,88,4.59,27.0
Alberto, Hanser,593643,118,KC,3B,29,53,4.44,27.0
Murphy, Tom,608596,136,SEA,C,30,35,4.59,27.0
Mejía, Francisco,642336,139,TB,C,26,49,4.39,27.0
Rosario, Eddie,592696,114,CLE,LF,30,89,4.34,27.0
Knapp, Andrew,595284,143,PHI,C,30,21,,27.0
Schoop, Jonathan,570731,116,DET,1B,30,105,4.59,27.0
Suárez, Eugenio,553993,113,CIN,3B,30,72,4.62,27.0
Neuse, Sheldon,641914,119,LAD,2B,27,17,,27.0
Walton, Donovan,622268,136,SEA,2B,27,24,,26.9
Anderson, Brian,605119,146,MIA,3B,28,46,4.45,26.9
Contreras, William,661388,144,ATL,C,24,39,4.55,26.9
Hicks, Aaron,543305,147,NYY,CF,32,27,4.47,26.9
Gurriel, Yuli,493329,117,HOU,1B,37,103,4.43,26.9
Haniger, Mitch,571745,136,SEA,RF,31,98,4.56,26.9
